cluster_name	gene	z_score
0	SAT1	22.810895919799805
0	ATG16L2	19.54374122619629
0	DOCK5	18.31890106201172
0	MMP25	14.349239349365234
0	APOBEC3A	12.984182357788086
0	ABTB1	12.045076370239258
0	AC099489.1	10.6403169631958
0	GLT1D1	9.407967567443848
0	YPEL3	9.275163650512695
0	PADI2	9.140792846679688
0	ADGRG3	8.949570655822754
0	GBP5	8.038970947265625
0	PGGHG	7.674579620361328
0	IRF7	7.477858543395996
0	ZDHHC18	7.222837924957275
0	ZBP1	6.402305603027344
0	ASPRV1	6.349930763244629
0	FOS	6.089428424835205
0	CD300A	5.795453071594238
0	FCGR3B	5.5963029861450195
0	CRISPLD2	5.345752239227295
0	COL18A1	4.924582481384277
0	PPCDC	4.797602653503418
0	PHOSPHO1	4.754896640777588
0	PDLIM7	4.606955051422119
0	SCARF1	4.423873424530029
0	RSAD2	4.019591331481934
0	HAL	3.6828532218933105
0	CHI3L1	3.63142466545105
0	HSH2D	3.416696071624756
0	TNFRSF10C	3.195824146270752
0	G0S2	3.1235928535461426
0	NLRP6	3.059752941131592
0	CYP4F3	3.027949333190918
0	REM2	2.943514108657837
0	DAPK2	2.8608202934265137
0	SLC19A1	2.851879358291626
0	LRFN1	2.5774104595184326
0	CXCR2	2.308501720428467
0	RGPD2	2.274686336517334
0	CASP5	2.1881558895111084
0	PLIN5	2.1436591148376465
0	BTN3A1	2.141152858734131
0	CSAD	1.846747875213623
0	LGALSL	1.7786918878555298
0	BTNL8	1.7600687742233276
0	REPS2	1.7418370246887207
0	C10orf105	1.7094299793243408
0	NCF4	1.6270802021026611
0	RAB37	1.5692633390426636
0	TREML2	1.4673317670822144
1	S100A8	89.45552062988281
1	S100A9	84.22765350341797
1	IL1R2	47.4382209777832
1	CD177	37.790626525878906
1	MMP9	35.06462860107422
1	MMP25	28.379121780395508
1	ALPL	27.227367401123047
1	ADGRG3	27.223308563232422
1	S100A12	25.013458251953125
1	FCAR	23.708782196044922
1	PIM3	21.168853759765625
1	ADM	16.57290267944336
1	PROK2	15.315979957580566
1	LRG1	15.307372093200684
1	IL18RAP	15.14659595489502
1	MCTP2	15.005834579467773
1	CLEC4D	14.195124626159668
1	PLIN5	13.536961555480957
1	ANXA3	12.411438941955566
1	PADI2	10.727185249328613
1	PFKFB2	10.097490310668945
1	NARF	9.766098976135254
1	ZDHHC18	9.43237018585205
1	CST7	9.292010307312012
1	G0S2	9.126248359680176
1	MGAM	8.807831764221191
1	BASP1	8.573962211608887
1	LCN2	8.057801246643066
1	VNN2	7.035832405090332
1	SLC51A	6.859888076782227
1	CDKN2D	6.556265830993652
1	FUT7	6.511737823486328
1	LTF	6.089751720428467
1	ST3GAL4	6.023067474365234
1	CXCR1	5.945624351501465
1	HS3ST3B1	5.874683380126953
1	OLFM4	5.319268226623535
1	ARG1	5.2308502197265625
1	OPLAH	4.830007076263428
1	MMP8	4.718210220336914
1	DOCK5	4.465473175048828
1	IDI1	4.364914417266846
1	MBOAT2	4.241431713104248
1	NLRP6	3.458724021911621
1	TNFRSF10C	3.431758165359497
1	GLT1D1	3.245098352432251
1	SLC37A3	3.1187188625335693
1	HLX	3.039165496826172
1	PADI4	2.9606993198394775
1	NTNG2	2.8029818534851074
1	ASPH	2.7529866695404053
2	IL32	60.824073791503906
2	TRBC2	52.35175323486328
2	ZAP70	51.32387924194336
2	TRAC	48.33342742919922
2	CCL5	45.00321960449219
2	SEPTIN1	40.4112663269043
2	NKG7	40.03608322143555
2	ETS1	38.2745246887207
2	CD6	37.199466705322266
2	IL2RB	35.5111198425293
2	LTB	35.30575942993164
2	PRF1	35.1918830871582
2	BCL2	34.39371109008789
2	FAM102A	34.366634368896484
2	CD247	34.17094421386719
2	TRBC1	33.63883590698242
2	LBH	33.06381607055664
2	GNLY	32.79666519165039
2	MT-ND6	30.52642250061035
2	CCND2	30.188875198364258
2	CD3D	29.427400588989258
2	IKZF3	28.81992530822754
2	ITK	28.019609451293945
2	TNFRSF25	26.42354965209961
2	PYHIN1	26.246227264404297
2	TCF7	25.933820724487305
2	GRAP2	24.77476692199707
2	SH2D2A	24.769739151000977
2	CD8A	22.81149673461914
2	TC2N	22.577007293701172
2	SLC38A1	22.546916961669922
2	CD69	22.30834197998047
2	IL7R	22.05817222595215
2	PLEKHF1	21.90294647216797
2	PRDM1	21.8520450592041
2	MAF	20.762094497680664
2	MAP4K1	20.74513053894043
2	CXCR4	20.169198989868164
2	CD7	20.138643264770508
2	ATP2B4	20.123943328857422
2	PRKCH	19.93149757385254
2	CST7	19.891000747680664
2	ITM2A	19.7409610748291
2	SAMD3	19.301115036010742
2	PTPN7	19.09743309020996
2	SOCS1	18.974754333496094
2	TBX21	18.72888946533203
2	PBXIP1	18.645479202270508
2	DUSP2	18.219867706298828
2	LTBP3	18.149002075195312
2	KLRK1	17.768747329711914
3	LYZ	78.77259063720703
3	S100A9	37.2169075012207
3	S100A8	29.95558738708496
3	CD74	22.842411041259766
3	NRGN	11.650053977966309
3	S100A12	11.23992919921875
3	SULF2	10.784674644470215
3	CD300LB	6.047070503234863
3	CLU	4.776759624481201
3	C19orf38	3.208390235900879
3	CBFA2T3	3.1947262287139893
3	UTY	2.3829829692840576
3	HBA2	1.8573029041290283
3	HBA1	1.620493769645691
3	MPP7	1.527809977531433
3	SMARCD3	1.3985702991485596
3	DDX3Y	1.240745186805725
3	C11orf21	0.996788501739502
3	HBB	0.9965221881866455
3	NFE2	0.9725944995880127
3	METTL9	0.9635565280914307
3	NHSL2	0.8637641072273254
3	C16orf74	0.697187602519989
3	HOMER3	0.6510160565376282
3	RAB27A	0.6325448155403137
3	RAB3D	0.5165932178497314
3	TNFRSF8	0.44914355874061584
3	NAT14	0.4172525703907013
3	LYPD2	0.3895827531814575
3	TGFBR3L	0.3450673818588257
3	KCNH3	0.3307022154331207
3	LOXHD1	0.3268950283527374
3	OLIG1	0.26717278361320496
3	CKB	0.2295130491256714
3	RGS14	0.22161279618740082
3	NME8	0.18026256561279297
3	TMEM8B	0.1751098483800888
3	CD79B	0.1681993007659912
3	CRISPLD2	0.16814236342906952
3	CLEC12B	0.1556098610162735
3	TIGD3	0.15385203063488007
3	PF4V1	0.14971546828746796
3	SERPINB10	0.14791007339954376
3	PLPPR2	0.14608676731586456
3	PADI4	0.1354885697364807
3	FRMD3	0.12756960093975067
3	MPO	0.09053119271993637
3	GPR162	0.08462703973054886
3	SFTPD	0.06737202405929565
3	PPM1L	0.06285160034894943
3	PPP1R27	0.028818538412451744
4	CD74	74.57710266113281
4	LMNA	70.77606964111328
4	APOE	64.30402374267578
4	HSPB1	64.15446472167969
4	INHBA	59.32252502441406
4	LYZ	59.16057586669922
4	FN1	57.43567657470703
4	RGCC	50.405914306640625
4	JUN	47.75496292114258
4	ABCG1	47.19545364379883
4	IL3RA	41.023624420166016
4	MT-CO1	38.70275115966797
4	IRS2	34.89741897583008
4	TAPBP	33.475669860839844
4	MT-CO3	32.92365264892578
4	MME	31.51861572265625
4	MT-ND4	31.00433921813965
4	THBD	29.60915184020996
4	HMOX1	29.26232147216797
4	MT-ATP6	26.733001708984375
4	MT-ND6	26.57811737060547
4	THBS1	26.275169372558594
4	MED25	25.495603561401367
4	MT-CO2	23.913469314575195
4	SOCS1	22.4927921295166
4	MYO6	22.073686599731445
4	ITGB5	20.995820999145508
4	MT-ND3	19.692731857299805
4	HSP90AA1	19.67660140991211
4	GPX3	19.315570831298828
4	SPOCD1	18.087594985961914
4	IER5	17.902856826782227
4	SQSTM1	17.867895126342773
4	TNIK	17.69363021850586
4	TMEM134	17.36160659790039
4	TRIP6	17.2362117767334
4	MAF	16.97945213317871
4	SPARC	16.704086303710938
4	KDM2B	16.268396377563477
4	TEDC1	15.999377250671387
4	SGK1	15.995213508605957
4	ADPRHL2	15.966757774353027
4	ABHD5	15.936172485351562
4	CCL24	15.927602767944336
4	AMDHD2	15.839590072631836
4	CBL	15.504392623901367
4	ACOT7	15.103580474853516
4	GALNS	14.51827621459961
4	RASA1	14.505438804626465
4	ECHDC2	14.397088050842285
4	ZNF316	14.381521224975586
5	SQSTM1	71.25888061523438
5	PLAU	45.91295623779297
5	G0S2	44.93502426147461
5	PI3	44.315860748291016
5	CXCL8	43.80613708496094
5	PHACTR1	39.121063232421875
5	PLAUR	38.25765609741211
5	CXCR4	36.01280212402344
5	PPP1R15A	35.65785217285156
5	VEGFA	30.58824348449707
5	PLPP3	27.747886657714844
5	TNFSF14	27.7467098236084
5	HCAR3	25.112468719482422
5	KLHL21	24.16878318786621
5	SCARF1	20.77581214904785
5	OSM	19.810880661010742
5	ZNF316	19.036008834838867
5	CD22	18.17346954345703
5	TMEM140	18.08367347717285
5	HES4	16.7839298248291
5	ATG2A	16.550935745239258
5	SAT1	16.33584976196289
5	CHI3L1	15.292174339294434
5	FOS	14.872445106506348
5	AMDHD2	14.499449729919434
5	FCAR	14.125765800476074
5	IVNS1ABP	13.222724914550781
5	MAFF	13.193653106689453
5	INPP5A	12.982139587402344
5	EGR3	12.136899948120117
5	ZNF267	12.10924243927002
5	CD300A	11.689156532287598
5	AC099489.1	11.302011489868164
5	FOSB	11.271276473999023
5	SLC25A13	11.223877906799316
5	DOCK4	11.082084655761719
5	SH3D21	10.942765235900879
5	CCL3	10.831544876098633
5	DDIT3	10.736620903015137
5	TBC1D7	10.416777610778809
5	SLAMF7	10.405305862426758
5	BASP1	10.266815185546875
5	SLPI	9.947577476501465
5	S100P	9.12412166595459
5	PTGS2	8.696454048156738
5	SGK1	8.278698921203613
5	GADD45B	8.029706001281738
5	PIM3	7.938279151916504
5	IL1R1	7.878440856933594
5	B3GNT8	7.79509973526001
5	PPCDC	7.270999908447266
6	PLAUR	46.60940933227539
6	G0S2	45.10776901245117
6	ALPL	40.68801498413086
6	CXCL8	40.21104431152344
6	IL1RN	39.94517135620117
6	S100A9	38.497005462646484
6	FCAR	37.26878356933594
6	BASP1	36.47541427612305
6	IL1R2	34.080142974853516
6	IVNS1ABP	33.26727294921875
6	IL1B	31.18975830078125
6	PI3	30.97943878173828
6	ECE1	30.97092056274414
6	ADGRG3	27.273221969604492
6	PPP1R15A	27.020994186401367
6	IRS2	26.574127197265625
6	TIMP1	25.425966262817383
6	LRG1	24.551063537597656
6	VNN3	24.062578201293945
6	VNN2	23.14777946472168
6	S100P	22.507095336914062
6	FFAR2	21.587907791137695
6	PHACTR1	21.112661361694336
6	APOBEC3A	20.356245040893555
6	VNN1	20.348949432373047
6	TNFSF14	20.225358963012695
6	PROK2	19.986661911010742
6	S100A8	19.881946563720703
6	GPR84	18.981748580932617
6	CD177	18.430763244628906
6	DUSP16	18.392484664916992
6	BTG2	18.146760940551758
6	SQSTM1	17.89525604248047
6	ADGRE2	17.4672794342041
6	MGAM	16.891738891601562
6	CXCR1	16.520679473876953
6	CXCR4	16.330780029296875
6	PTGS2	16.28818702697754
6	SCN1B	15.512280464172363
6	SLPI	14.906477928161621
6	FBXL13	14.573546409606934
6	ZDHHC18	14.409173011779785
6	IL18RAP	14.252035140991211
6	AC099489.1	14.190088272094727
6	MTF1	13.59683609008789
6	IL1R1	13.561564445495605
6	MCTP2	13.288925170898438
6	DOCK5	13.180780410766602
6	DGAT2	12.883607864379883
6	BID	12.829948425292969
6	ADM	12.321357727050781
7	CD74	84.3206558227539
7	LMNA	78.70277404785156
7	LYZ	75.86434173583984
7	ABCG1	70.27033233642578
7	APOE	69.0342788696289
7	HSPB1	69.03388977050781
7	RGCC	66.72837829589844
7	MME	64.76922607421875
7	FN1	63.707786560058594
7	HMOX1	59.465171813964844
7	INHBA	58.639625549316406
7	THBS1	58.62621307373047
7	HSP90AA1	56.67868423461914
7	IL3RA	55.908973693847656
7	IL13RA1	55.083213806152344
7	ITGB5	54.14491653442383
7	HMOX2	53.22579574584961
7	OASL	52.923770904541016
7	SPATS2L	52.678565979003906
7	ARL2	52.587799072265625
7	B3GNT2	51.95933151245117
7	CBL	48.559959411621094
7	IFIT3	48.512001037597656
7	TXNDC5	47.367408752441406
7	GPX3	47.120140075683594
7	JUN	46.234718322753906
7	TK2	45.121578216552734
7	IL7R	44.945499420166016
7	IFIT2	44.75141906738281
7	PPP3CA	44.40009689331055
7	MAF	44.38256072998047
7	TIMM10	44.1453742980957
7	HADH	44.032779693603516
7	CCDC92	44.023155212402344
7	ABHD5	43.01139831542969
7	TMEM134	41.478458404541016
7	TMEM43	41.3519172668457
7	THBD	41.050907135009766
7	MCRIP1	40.899967193603516
7	RASA1	40.74127960205078
7	NDUFB6	40.39943313598633
7	HSPH1	40.23452377319336
7	TRIP6	39.77048873901367
7	JPT1	39.730743408203125
7	EGR2	39.62950897216797
7	ERLIN1	39.597415924072266
7	SECTM1	38.95384216308594
7	NSFL1C	38.89703369140625
7	ADPRHL2	38.586605072021484
7	TPR	37.61674880981445
7	PLPP3	37.57178497314453
8	G0S2	55.653446197509766
8	CXCL8	32.391143798828125
8	PLAUR	23.006547927856445
8	IL1RN	14.260344505310059
8	S100A9	11.051108360290527
8	IL1B	10.27473258972168
8	SQSTM1	7.944682598114014
8	PI3	7.903982639312744
8	ALPL	6.060858726501465
8	PPP1R15A	5.198780059814453
8	OSM	4.765290260314941
8	FCAR	4.488199234008789
8	SAT1	4.175443172454834
8	PTGS2	3.5275185108184814
8	ADGRG3	3.359510898590088
8	PLAU	3.3181140422821045
8	PIM3	3.31331467628479
8	EGR3	2.4847209453582764
8	SCN1B	2.1442818641662598
8	ATG2A	1.927420973777771
8	SLPI	1.5367425680160522
8	HES4	1.2767819166183472
8	ECE1	1.1808782815933228
8	FFAR2	0.9380746483802795
8	CCL4L2	0.7086039781570435
8	HCAR3	0.7041642069816589
8	IL1A	0.6565797328948975
8	CCL3	0.31157225370407104
8	CDC42BPG	0.21161258220672607
8	HPN	0.1739819347858429
8	CCL3L1	0.13421694934368134
8	PTGES	0.11397865414619446
8	ORM1	0.1023162454366684
8	KRT23	0.08782333880662918
8	NPR3	0.08179398626089096
8	CYP4F3	0.07259182631969452
8	CHI3L1	0.06195536628365517
8	CFAP45	0.061056219041347504
8	SFN	0.057180002331733704
8	LOXHD1	0.05240415409207344
8	N4BP3	0.047784995287656784
8	CLEC2A	0.04123881459236145
8	HPD	0.03925393894314766
8	AOC1	0.03807130828499794
8	CLEC1B	0.021185170859098434
8	INHBB	0.02114708349108696
8	SHROOM2	0.019609130918979645
8	HRK	0.018033092841506004
8	UPK1B	0.0180311631411314
8	CCDC173	0.01645512506365776
8	GDF5	0.015315400436520576
9	G0S2	58.1415901184082
9	SAT1	53.9556999206543
9	ADGRG3	37.39036560058594
9	IRF7	27.124536514282227
9	IL1R2	25.728967666625977
9	GBP1	25.426788330078125
9	OSM	24.780582427978516
9	CXCL8	24.132097244262695
9	IL1RN	23.357683181762695
9	BTG2	21.95253562927246
9	FOS	21.4923038482666
9	PTGS2	20.87729835510254
9	APOBEC3A	19.9969482421875
9	PROK2	17.846609115600586
9	PLAUR	17.588176727294922
9	IL1B	17.054359436035156
9	VPS9D1	16.337825775146484
9	MCTP2	15.914921760559082
9	ALPL	15.276912689208984
9	IFRD1	15.262202262878418
9	GBP5	13.396672248840332
9	PDE4B	12.34628677368164
9	MMP25	12.116247177124023
9	DDIT4	11.938202857971191
9	HELZ2	11.754582405090332
9	ZBP1	11.016725540161133
9	IL18RAP	10.144424438476562
9	PADI2	9.843304634094238
9	FFAR2	9.425150871276855
9	EGR3	9.385843276977539
9	ANTXR2	8.969581604003906
9	C17orf107	8.932069778442383
9	ADM	8.630592346191406
9	RGS2	8.349908828735352
9	PGGHG	8.043684005737305
9	TNFRSF10C	7.384858131408691
9	AREG	7.319207191467285
9	PPP1R15A	6.9763875007629395
9	LRG1	6.890419960021973
9	CDC42EP2	6.608801364898682
9	FCAR	6.577857494354248
9	IVNS1ABP	6.5168561935424805
9	SCARF1	6.502313137054443
9	RSAD2	6.422929286956787
9	TMEM71	6.374758243560791
9	FOSB	6.307229042053223
9	ANXA3	6.113194465637207
9	GK	5.946640968322754
9	EGR1	5.8217644691467285
9	KCNJ15	5.283136367797852
9	ECE1	5.127229690551758
10	PLTP	52.533241271972656
10	ODF3B	42.9357795715332
10	IRF7	39.422420501708984
10	CD74	34.4664192199707
10	ADM	32.85392761230469
10	TIMP1	32.7926139831543
10	CCL2	32.40087890625
10	TAPBP	30.31798553466797
10	SAT1	30.277048110961914
10	HMOX1	30.18508529663086
10	MT-ND6	30.052631378173828
10	CD300A	29.048540115356445
10	JUN	26.001110076904297
10	TNIK	24.94222640991211
10	IL1R2	24.552553176879883
10	SPHK1	24.453886032104492
10	SPP1	23.92384147644043
10	GBP5	23.05938720703125
10	GBP1	22.97148323059082
10	CXCL5	21.528812408447266
10	RCN3	21.37753677368164
10	NKG7	21.008495330810547
10	SQSTM1	20.592655181884766
10	KIFC3	19.565153121948242
10	HELZ2	19.154869079589844
10	FOS	18.98676109313965
10	THBS1	18.27366828918457
10	CXCL2	18.04403305053711
10	HSPA6	17.131427764892578
10	CXCL1	16.84771156311035
10	DOCK4	15.760804176330566
10	APBB3	15.506473541259766
10	DLL1	15.304418563842773
10	CCL8	15.222601890563965
10	AP5Z1	14.734137535095215
10	SECTM1	14.72783088684082
10	IRF2BPL	14.464010238647461
10	MAF	14.41123104095459
10	VPS9D1	13.920478820800781
10	IKBKE	13.901293754577637
10	VEGFA	13.888106346130371
10	DDIT4	13.798908233642578
10	SPARC	13.172226905822754
10	ISG15	13.018430709838867
10	C1orf122	12.77475357055664
10	SOCS1	12.528093338012695
10	THBD	12.18128776550293
10	MED25	12.11909294128418
10	HOMER3	11.514644622802734
10	TRIP6	11.092693328857422
10	KDM4B	10.95323371887207
11	TIMP1	52.34843063354492
11	LYZ	39.9054069519043
11	THBS1	38.93596267700195
11	IL1B	33.81867218017578
11	SPHK1	31.22161102294922
11	HMOX1	29.445453643798828
11	PLAUR	29.123781204223633
11	CCL3	28.477481842041016
11	ADGRE2	25.69467544555664
11	TNIP3	25.102231979370117
11	CD74	24.259241104125977
11	S100A9	24.063173294067383
11	VEGFA	23.992156982421875
11	THBD	23.74421501159668
11	CCL4	23.065431594848633
11	IL1RN	22.77914047241211
11	S100A8	22.54778289794922
11	PIM3	21.995925903320312
11	LMNA	21.27876091003418
11	DDIT4	21.227468490600586
11	NLRP3	20.919689178466797
11	KIFC3	20.881834030151367
11	CLU	19.97342300415039
11	GPR84	19.620084762573242
11	C1orf122	19.199756622314453
11	ASPH	18.487688064575195
11	CXCL2	17.572450637817383
11	NKG7	16.9522647857666
11	CCL20	16.909442901611328
11	INSIG1	16.842561721801758
11	CCL4L2	16.598770141601562
11	HIF1A	16.0732479095459
11	NR4A1	15.976551055908203
11	EGR1	15.84455394744873
11	IKBKE	15.83330249786377
11	FNIP2	15.719213485717773
11	CDC42EP2	15.653675079345703
11	SGK1	15.169548988342285
11	SAT1	15.082117080688477
