,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.9717243002854925e-113,0.82704186,0.5929322572756175,0.5880910931893275,3.9717243002854925e-113,0,SAT1
1,3.587310045817632e-83,1.6317616,0.326485693323551,0.2525135893700927,3.587310045817632e-83,0,ATG16L2
2,3.8987451838911735e-73,1.4309503,0.3449498654927855,0.2801719543823498,3.8987451838911735e-73,0,DOCK5
3,4.142769875328844e-45,1.2818042,0.21802396674003424,0.12836181475823355,4.142769875328844e-45,0,MMP25
4,5.0995290766108966e-37,1.3483963,0.19931523599902176,0.12310370554588411,5.0995290766108966e-37,0,APOBEC3A
5,5.882472383846358e-32,1.5643095,0.19283443384690632,0.12523537144278254,5.882472383846358e-32,0,ABTB1
6,4.0730441685975874e-25,1.7440542,0.12215700660308144,0.05219028670906313,4.0730441685975874e-25,0,AC099489.1
7,7.174763081682007e-20,1.1984509,0.18647591098067987,0.13619568692933529,7.174763081682007e-20,0,GLT1D1
8,2.3965717051048326e-19,1.3881012,0.18745414526779164,0.14209329591075426,2.3965717051048326e-19,0,YPEL3
9,8.0514136705577845e-19,1.1516467,0.16507703595011006,0.11040252957686432,8.0514136705577845e-19,0,PADI2
10,4.2738478338597365e-18,0.6680733,0.2611885546588408,0.21544036664653426,4.2738478338597365e-18,0,ADGRG3
11,8.587280225983048e-15,1.3834223,0.18256297383223283,0.14806196042206984,8.587280225983048e-15,0,GBP5
12,1.4686899731693468e-13,1.0279251,0.17669356810956224,0.1371371727004654,1.4686899731693468e-13,0,PGGHG
13,6.348179358691415e-13,1.1036518,0.23893372462704818,0.2258677656588624,6.348179358691415e-13,0,IRF7
14,3.9621500017826134e-12,1.0369384,0.19442406456346295,0.16195331651685793,3.9621500017826134e-12,0,ZDHHC18
15,9.38945061122393e-10,1.3760759,0.10198092443140132,0.06162290830283867,9.38945061122393e-10,0,ZBP1
16,1.297661412707168e-09,1.9265054,0.06676449009537784,0.02421217181227129,1.297661412707168e-09,0,ASPRV1
18,3.541189519957918e-08,0.95903665,0.22902910247004157,0.22625857107329378,3.541189519957918e-08,0,CD300A
19,1.084013600315571e-07,1.5142251,0.10760577158229397,0.0747681813337123,1.084013600315571e-07,0,FCGR3B
20,4.277548393002905e-07,1.480375,0.08229395940327708,0.0482644686822752,4.277548393002905e-07,0,CRISPLD2
21,3.6836934511221947e-06,2.0588639,0.048911714355588165,0.015596688812306818,3.6836934511221947e-06,0,COL18A1
22,6.804063394596078e-06,1.3445315,0.10442651014918072,0.07730841652751626,6.804063394596078e-06,0,PPCDC
23,8.18754821133332e-06,3.9127085,0.03546099290780142,0.0030198600206061037,8.18754821133332e-06,0,PHOSPHO1
24,1.5930152917081787e-05,0.9280011,0.20506236243580336,0.20042988595587452,1.5930152917081787e-05,0,PDLIM7
25,3.6106825056700995e-05,1.0705425,0.12619222303741745,0.10404305965111735,3.6106825056700995e-05,0,SCARF1
26,0.0002054521093305496,1.5807256,0.06664221080948887,0.040927985220449783,0.0002054521093305496,0,RSAD2
27,0.0007476111322952588,1.8573602,0.046221570066030816,0.021689700500941485,0.0007476111322952588,0,HAL
28,0.000909229088035775,1.0938672,0.05881633651259477,0.03460404305965112,0.000909229088035775,0,CHI3L1
29,0.0019777222497070947,1.3309494,0.07006603081438005,0.04899278786371549,0.0019777222497070947,0,HSH2D
30,0.004193446275228901,0.9475609,0.0677427243824896,0.047340746793619215,0.004193446275228901,0,TNFRSF10C
32,0.006439523485411028,1.0708404,0.04964539007092199,0.029328169964827514,0.006439523485411028,0,NLRP6
33,0.007126466183270993,1.6670738,0.03411592076302274,0.013660425622624081,0.007126466183270993,0,CYP4F3
34,0.009192893248981064,1.9103644,0.03154805575935436,0.01165310690304473,0.009192893248981064,0,REM2
35,0.011592495860604537,1.4551287,0.04218635363169479,0.023270686041141152,0.011592495860604537,0,DAPK2
36,0.01187474818693285,1.2600622,0.13083883590119832,0.12463139943866132,0.01187474818693285,0,SLC19A1
37,0.025922835497112773,1.4026731,0.043775984348251404,0.02691228194834263,0.025922835497112773,0,LRFN1
200,0.0,4.258295,0.8370685213807316,0.4593531776821613,0.0,1,S100A8
201,0.0,3.509183,0.8969603297269448,0.6085208436199478,0.0,1,S100A9
202,0.0,2.550809,0.5280783101494075,0.25710658108203427,0.0,1,IL1R2
203,0.0,3.5034645,0.3160741885625966,0.059550680679974606,0.0,1,CD177
204,4.243041668597832e-267,3.4328928,0.2982998454404946,0.0605381956690414,4.243041668597832e-267,1,MMP9
205,4.880698758235484e-175,2.2070084,0.3058990211231324,0.11698525781194893,4.880698758235484e-175,1,MMP25
206,3.624592508746499e-161,2.0347223,0.31349819680577024,0.13694716794808492,3.624592508746499e-161,1,ALPL
207,3.823927578314797e-161,1.6950809,0.37223080886141163,0.20057134795796008,3.823927578314797e-161,1,ADGRG3
208,3.4911975603392806e-136,2.5561795,0.24806800618238023,0.08570219369401143,3.4911975603392806e-136,1,S100A12
209,1.8883709488567824e-122,1.5921059,0.3451828954147347,0.21113423150172816,1.8883709488567824e-122,1,FCAR
210,9.487175977316862e-98,1.5303391,0.36360123647604325,0.2731184312619031,9.487175977316862e-98,1,PIM3
211,3.647114420914051e-60,1.3969266,0.26403915507470377,0.16831840304718912,3.647114420914051e-60,1,ADM
212,1.8401036951979332e-51,1.5177261,0.211231324059763,0.11204768286661494,1.8401036951979332e-51,1,PROK2
213,2.0686923755573976e-51,1.6001041,0.2099433281813498,0.11331734499541511,2.0686923755573976e-51,1,LRG1
214,2.312880376837612e-50,1.9357271,0.16769706336939721,0.06628694364110883,2.312880376837612e-50,1,IL18RAP
215,1.8940758336390216e-49,1.4836019,0.21767130345182895,0.1235451788107498,1.8940758336390216e-49,1,MCTP2
216,2.486384066670886e-44,2.1803925,0.16524987120041215,0.07349932990054313,2.486384066670886e-44,1,CLEC4D
217,2.2529188658786697e-40,2.0802534,0.13923235445646573,0.04681879099950624,2.2529188658786697e-40,1,PLIN5
218,4.356632601986493e-34,2.1802244,0.12326120556414219,0.03807222966777174,4.356632601986493e-34,1,ANXA3
219,1.0465077065242323e-25,1.2690271,0.17697063369397217,0.10917330888058123,1.0465077065242323e-25,1,PADI2
220,7.040280199794339e-23,2.8622148,0.10857805255023184,0.04159906891443888,7.040280199794339e-23,1,PFKFB2
221,1.798809936136955e-21,2.0169017,0.14953632148377125,0.09194469916061226,1.798809936136955e-21,1,NARF
222,4.220267805751903e-20,1.1577165,0.2104585265327151,0.15999506242505468,4.220267805751903e-20,1,ZDHHC18
223,1.5216182210721248e-19,1.6266468,0.11952601751674395,0.05819284757000776,1.5216182210721248e-19,1,CST7
224,6.72169581275162e-19,0.5789691,0.509659969088099,0.4644670945898286,6.72169581275162e-19,1,G0S2
225,1.13919589908905e-17,1.5538518,0.10819165378670788,0.04842350285673979,1.13919589908905e-17,1,MGAM
226,8.58234772511092e-17,0.9676431,0.2274600721277692,0.18947943852719193,8.58234772511092e-17,1,BASP1
227,5.840509225878564e-15,3.44017,0.06362699639361154,0.0074592650067009944,5.840509225878564e-15,1,LCN2
