#val	color
1697_00_BAL	#ffff00
1697_00_blood	#1ce6ff
2022_15_BAL	#ff34ff
2027_00_BAL	#ff4a46
2042_00_BAL	#008941
2043_00_BAL	#006fa6
2050_00_BAL	#a30059
2054_00_blood	#ffdbe5
2055_00_BAL	#7a4900
2060_41_blood	#0000a6
2070_00_blood	#63ffac
2072_00_blood	#b79762
2074_00_blood	#004d43
2075_00_blood	#8fb0ff
2094_01_blood	#997d87
03132023_00_BAL	#5a0007
0317202301_01_blood	#809693
0317202302_01_blood	#6a3a4c
0317202303_00_blood	#1b4400
LT121L_00_BAL	#4fc601
LT121R_00_BAL	#3b5dff
LT122RML_00_BAL	#4a3b53
LT181L_00_BAL	#ff2f80
LT184LUL01_01_BAL	#61615a
LT184LUL02_01_BAL	#ba0900
LT205LUL_00_BAL	#6b7900
LT226LUL_00_BAL	#00c2a0
LT236LLL_00_BAL	#ffaa92
LT236LUL_00_BAL	#ff90c9
LT243L_00_BAL	#b903aa
S14_00_blood	#d16100
S15_00_blood	#ddefff
S16_00_blood	#000035
S17_00_blood	#7b4f4b
